96,Carlos Rodolfo Abaunza Balladares,M,168,60,NA
97,Carlos Alberto Abaunza,M,180,70,NA
98,Hctor Abaunza,M,169,75,NA
99,Pter Abay,M,181,79,Silver
100,Oszkr Abay-Nemes,M,NA,NA,NA
100,Oszkr Abay-Nemes,M,NA,NA,Bronze
101,Adeyemi Abayomi,M,170,51,NA
102,Sayed Fahmy Abaza,M,NA,NA,NA
103,Silvano Abba,M,NA,NA,Bronze
104,Gana Abba Kimet,M,NA,NA,NA
105,Ilyas Abbadi,M,175,75,NA
106,Agostino Abbagnale,M,188,96,Gold
107,Carmine Abbagnale,M,182,90,Gold
107,Carmine Abbagnale,M,182,90,Silver
107,Carmine Abbagnale,M,182,90,NA
108,Giuseppe Abbagnale,M,187,97,NA
108,Giuseppe Abbagnale,M,187,97,Gold
108,Giuseppe Abbagnale,M,187,97,Silver
109,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,176,64,NA
110,Abubakar Abbas Abbas,M,175,66,NA
111,Aqarab Abbas,M,190,88,NA
112,Aziz Abbas,M,169,67,NA
113,Bassim Abbas Kati Al-Ogaili,M,175,80,NA
114,Essa Abbas Faleh Hashem,M,160,65,NA
115,Ghulam Abbas,M,181,74,NA
116,Hosni Mohamed Abbas,M,NA,60,NA
117,Maher Abbas,M,178,78,NA
118,Mahmoud Abbas,M,165,65,NA
119,Mohamed Fakhry Rifaat Abbas,M,NA,NA,NA
120,Mohammed Abbas Sabih,M,170,70,NA
121,Muhammad Abbas,M,168,55,NA
122,Nader Sufyan Abbas,M,173,77,NA
123,Sohail Abbas,M,178,80,NA
124,Youssef Mohamed Abbas,M,NA,NA,NA
125,Zulkifli Abbas,M,170,62,NA
126,Forough Abbasi,F,164,58,NA
127,Shakeel Abbasi,M,165,60,NA
128,Soulmaz Abbasi Azad,F,173,60,NA
129,Ruslan Abbasov,M,181,74,NA
130,Tural Abbasov,M,182,76,NA
131,Tran Abbasova,F,159,53,NA
132,Simona Abbate,F,171,64,NA
133,Franz Abb,M,NA,NA,NA
134,Christian Abbiati,M,192,90,NA
135,Lois Abbingh,F,178,72,NA
136,Alessandro Abbio,M,195,85,NA
137,Giordano Giulio Abbondati,M,175,64,NA
138,Salwan Jasim Abbood Abbood,M,180,104,NA
139,George "Ioannis" Abbot,M,NA,NA,Bronze
140,William "Bill" Abbott Jr.,M,172,80,NA
141,Clare Abbott,F,167,58,NA
142,David "Dave" Abbott,M,183,75,NA
143,Desmond "Des" Abbott,M,184,87,Bronze
144,Geoffrey Grant Abbott,M,179,80,NA
145,Jeremy Abbott,M,175,70,NA
145,Jeremy Abbott,M,175,70,Bronze
146,Jeremy Abbott,M,179,71,NA
147,Joanne Abbott,F,160,57,NA
148,Kathryn "Katie" Abbott,F,164,63,NA
149,Mara Katherine Abbott,F,163,52,NA
150,Margaret Ives Abbott (-Dunne),F,NA,NA,Gold
151,Mary Perkins Ives Abbott (Perkins-),F,NA,NA,NA
152,Matt Abbott,M,185,91,NA
153,Monica Cecilia Abbott,F,191,88,Silver
154,Khadija Abbouda,F,165,57,NA
155,Mohamed Ibrahim Abd El-Fatah Mohamed,M,185,98,NA
156,Mahmoud Abd El-Kader,M,195,94,NA
157,Mohamed Ibrahim Abd El-Salam,M,192,83,NA
158,Noha Abd Rabo,F,NA,NA,NA
159,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,167,60,NA
160,Ali Abdalla Afringi,M,163,57,NA
161,Hossam Abdalla,M,203,97,NA
162,Hosam Abdallah,M,NA,NA,NA
163,Ismail Abdallah,M,NA,NA,NA
164,Maged Abdallah,M,NA,NA,NA
165,Nia Nicole Abdallah,F,175,56,Silver
166,Omari Abdallah,M,168,57,NA
167,Ould Lamine Abdallah,M,NA,NA,NA
168,Younis Abdallah Rabee,M,169,68,NA
169,Raida Abdallah Bader,F,158,49,NA
170,Maha Abdalsalam Gouda,F,172,61,NA
171,Mahmoud Abdel Aziz,M,174,70,NA
172,Mohamed Abdel Ellah,M,168,68,NA
173,Mohamed Abdel Fatah,M,170,69,NA
174,Ali Mohamed Badawi Abdel Fattah Badawi,M,NA,NA,NA
175,Abdelgani Hassan Abdel Fattah,M,NA,NA,NA
176,Mahmoud Atter Abdel Fattah,M,NA,NA,NA
177,Mohamed Abdel Fattah,M,174,69,NA
178,Sayed Abdel Gadir,M,180,56,NA
179,Ibrahim Saad Abdel Galil,M,176,73,NA
180,Heba Abdel Gawad,F,154,48,NA
181,Sara Abdel Gawad,F,153,46,NA
182,Gamal Amin Abdel Ghani,M,NA,NA,NA
183,Abdel Sattar Abdel Hadj,M,NA,NA,NA
184,Ragy Abdel Hady,M,186,100,NA
185,Osman Abdel Hafeez,M,NA,NA,NA
186,Mohamed Abdel Hafiz,M,NA,NA,NA
187,Moustafa Ali Abdel Halim,M,152,52,NA
188,Mohamed Abdel Hamed,M,193,82,NA
189,Hwad Ibrahim Abdel Hamid Lumomba,M,162,57,NA
190,Ibrahim Abdel Hamid,M,NA,NA,NA
191,Tamer Mohamed Abdel Hamid,M,NA,NA,NA
192,Ahmed El-Sayed Abdel Hamid Mobarak,M,189,85,NA
193,Dorri Abdel Kader Said,M,NA,NA,NA
194,Moustafa Mounib Abdel Kader,M,176,67,NA
195,Mohamed Ali Abdel Kerim,M,NA,81,NA
196,Mohamed Abdel Khaled,M,183,76,NA
197,Abdel Latif Abdel Latif,M,172,68,NA
198,Walid Abdel Maksoud,M,NA,NA,NA
199,Amir Abdel Meguid,M,178,67,NA
200,Mohamed Abdel Mohamed,M,NA,NA,NA
201,Karim Abdel Mohsen,M,188,92,NA
202,Awad Abdel Nabi Awad,M,198,80,NA
203,Ahmed Abdel Naeim,M,197,87,NA
204,Moustafa Abdel Naser,M,176,74,NA
205,Ali Abdel Radi,M,NA,NA,NA
206,Amin Abdel Rahman,M,NA,NA,NA
207,Mohamed Fathallah Abdel Rahman,M,NA,NA,NA
208,Fathi Ali Abdel Rahman,M,NA,NA,NA
209,Ibrahim Abdel Rahman,M,NA,NA,NA
210,Khaled Abdel Rahman,M,188,79,NA
211,Sameh Abdel Rahman,M,NA,NA,NA
212,Yasser Abdel Rahman Sakr,M,180,120,NA
213,Samy Abdel Razek,M,170,60,NA
214,Mohamed Youssef Abdel Razik,M,NA,NA,NA
215,Ibrahim Ahmed Abdel Rehim,M,190,83,NA
216,Kamal Abdel Rehim,M,190,95,NA
217,Reskalla Mohamed Abdel Rehim,M,165,48,NA
218,Ahmed Ali Abdel Samad,M,195,95,NA
219,Ali Abdel Sami,M,NA,NA,NA
220,Mohamed Abdel Sami,M,NA,NA,NA
221,Sameh Abdel Waress Muhammad,M,NA,NA,NA
222,Mohamed Said Abdel Wehab,M,157,48,NA
223,Mahmoud Abdel-Aal,M,NA,NA,NA
224,Mohamed Abdel-El,M,NA,NA,NA
225,Shaimaa Abdel-Latif-Hashad,F,165,57,NA
226,Sanad Bushara Abdel-Nadif,M,NA,NA,NA
227,Ahmed Abdelaal,M,188,89,NA
228,Mahmoud Abdelaal,M,176,60,NA
229,Mohamed Ali Abdelaal,M,175,81,NA
230,Moustafa Abdelal,M,NA,NA,NA
231,Mahmod Abdelaly,M,NA,NA,NA
232,Ibrahim Ramadan Ibrahim Abdelbaki,M,173,77,NA
233,Aziza Abdelfattah,F,159,51,NA
234,Abdalla Abdelgadir El-Sheikh,M,170,58,NA
235,Magdi Abdelghani Sayed Ahmed,M,NA,NA,NA
236,Ragab Abdelhay Saad Abdelrazek Abdallah,M,170,94,NA
237,Ben Ahmed Abdelkrim,M,NA,NA,NA
238,Mohamed Abdellah,M,170,70,NA
239,Ayoub Abdellaoui,M,184,68,NA
240,Leila Abdelmoez,F,160,46,NA
241,Sayed Abdelmonem Sayed Hamed,M,170,60,NA
242,Ahmed Abdelrahman,M,165,60,NA
243,Ihab Abdelrahman El-Sayed Abdelrahman,M,194,96,NA
244,Raouf Abdelraouf,M,167,63,NA
245,Abouelfetoh Abdelrazek,M,NA,NA,NA
246,Mamdouh Abdelrehim,M,207,90,NA
247,El-Hachemi Abdenouz,M,170,63,NA
248,Rda Abdenouz,M,170,63,NA
249,Mouni Abderrahim,F,173,60,NA
250,Saeid Morad Abdevali,M,170,80,NA
250,Saeid Morad Abdevali,M,170,80,Bronze
251,Bashir Abdi,M,176,56,NA
252,Youcef Abdi,M,178,66,NA
253,Jamal Abdi Hassan Abdullah,M,177,65,NA
254,Talal Omar Abdillahi,M,170,57,NA
255,Mahmoud Ahmed Abdin,M,NA,NA,NA
256,Abdihakim "Abdi" Abdirahman,M,178,61,NA
257,Ali Abdo,M,169,74,NA
258,Hamza Abdo,M,NA,NA,NA
259,Reema Abdo,F,173,59,NA
259,Reema Abdo,F,173,59,Bronze
260,Ahmed Abdo Mustafa,M,NA,NA,NA
261,Nasrollah Abdollahi,M,183,75,NA
262,Yhyacinthe Mewoli Abdon,M,176,60,NA
263,Hassane Abdou,M,185,67,NA
264,Justin Abdou,M,175,85,NA
265,Moustafa Ahmed Ismail Abdou Ali Arfah,M,NA,NA,NA
266,Raouf Abdou,M,165,60,NA
267,Mohamed Abdou El-Souad,M,180,76,NA
268,Brahim Daoud Abdoulaye,M,NA,71,NA
269,Fawziya Abdoulkarim,F,180,67,NA
270,Alaa El-Din Abdoun,M,188,78,NA
271,Ibrahim Abdrabbou,M,NA,NA,NA
272,Berik Abdrakhmanov,M,165,60,NA
273,Maizurah Abdul Rahim,F,147,50,NA
274,Mehdi Fahim Abdul Al-Sada,M,184,70,NA
275,Bashir Abdullah Abdul Aziz,M,180,73,NA
276,Chairil Anwar Abdul Aziz,M,163,61,NA
277,Shaimaa Abdul Aziz,F,160,53,NA
278,Mohamed Abdul Hadj,M,NA,NA,NA
279,Jefri Kiko Bolkiah Abdul Hakeem,M,172,90,NA
280,Mohamed Abdul Hamid,M,175,55,NA
281,S. Abdul Hamid,M,NA,NA,NA
282,Hadi Abdul Jabbar,M,180,117.5,NA
283,Mohamed Abed Abdul Jawad,M,169,65,NA
284,Anouar Abdul Kader,M,NA,NA,NA
285,Talal Hassoun Abdul Kader,M,NA,82,NA
286,Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,M,169,60,NA
287,Taha Abdul Karim,M,156,59,NA
288,Masoud Abdul Khamis Al-Rahman,M,176,68,NA
289,Abdul Haji Abdul Latheef,M,168,54,NA
290,Fatima Abdul Majeed Hameed Al-Kirashi,F,NA,NA,NA
291,Majed Ahmed Abdul Mohamed,M,172,70,NA
292,Firouz Abdul Mohammadian,M,178,74,NA
293,Hussam Abdul Rahman,M,175,80,NA
294,Mohamed Ghulom Abdul Rahman,M,175,85,NA
295,Suleman Abdul Rahman,M,174,55,NA
296,Zambrose Abdul Rahman,M,173,64,NA
297,Lala Abdul Rashid,M,169,91,Gold
298,Muhammad Abdul Rashid,M,181,72,Silver
299,Dana Abdul Razak (Hussain-),F,163,56,NA
300,A. Abdul Razzak,M,178,70,NA
301,Mohamed Abdul Razzak,M,177,68,NA
302,Muhammad Abdul Razzaq,M,NA,NA,NA
303,Hazim Abdul Ridha,M,160,52,NA
304,Rauf Abdul Seoud,M,NA,NA,NA
305,Samir Ahmed Abdul Shakour,M,180,72,NA
306,Nabil Abdul Tahlak,M,NA,NA,NA
307,Fahmi Ahmed Abdul Wahab Al-Tahri,M,NA,NA,NA
308,Mohamed Abdul Wahab Al-Salah,M,NA,NA,NA
309,Qazi Abdul Waheed,M,NA,NA,NA
310,Patmawati Abdul Wahid,F,158,58,NA
311,Haidar Abdul-Amir Hassan,M,185,80,NA
312,Haidar Abdul-Razzaq Hassan,M,175,75,NA
313,Lawal Kolawole "Kola" Abdulai,M,172,66,NA
314,Rukayatu "Ruky" Abdulai,F,180,59,NA
315,Mona Ahmad Abdulaziz Hassanein,F,166,61,NA
316,Zagalav Abdulbekovich Abdulbekov,M,160,62,Gold
317,Roosevelt M. Abdulgafur,M,181,73,NA
318,Ahmed Abdulkareem Ahmed,M,NA,NA,NA
319,Gamal Ahmed Abdulla,M,NA,NA,NA
320,Mohamed Sayed Abdulla,M,NA,NA,NA
321,Ahmad Hassan Abdullah,M,164,55,NA
322,Ahmed Ghanim Abdullah,M,184,79,NA
323,Aquil Hashim Abdullah (Shumate-),M,187,83,NA
324,Atallah Abdullah,M,NA,88,NA
325,Magdy Ahmed Abdullah,M,NA,NA,NA
326,Mohamed Abdullah,M,176,66,NA
327,Mohamed Samy Abdullah,M,165,65,NA
328,Mohamed Abdullah,M,180,76,NA
329,Osama Abdullah,M,NA,NA,NA
330,Tewfik Abdullah,M,NA,NA,NA
331,Wan Azlan Abdullah,M,188,77,NA
332,Zarinah Abdullah,F,NA,NA,NA
333,Abdel Wahab Abdullah Salih,M,190,75,NA
334,Abubakar Sadiq Abdullahi,M,NA,NA,NA
335,Abdulqdir Abdullayev,M,188,91,NA
336,Arif Yadulla Abdullayev,M,164,60,NA
337,Mukhammad Kadyr Abdullayev,M,169,63,NA
337,Mukhammad Kadyr Abdullayev,M,169,63,Gold
338,Muminzhon Abdullayev,M,190,130,NA
339,Namiq Yadulla Abdullayev,M,167,55,Silver
339,Namiq Yadulla Abdullayev,M,167,55,Gold
339,Namiq Yadulla Abdullayev,M,167,55,NA
340,Laye Abdullayeva,F,170,47,NA
341,lqar Abdulov,M,175,74,NA
342,Abdullah Abdulrahman Zeyab,M,177,NA,NA
343,Abir Abdulrahman Khalil Mahmoud Khalil,F,162,72,NA
344,Amer Abdulrahman Abdallah Hussain Al-Hammadi,M,168,68,NA
345,Omar Abdulrahman Ahmad Al-Raaqi Al-Amoudi,M,168,62,NA
346,Shaza Yahia Nazih Abdulrahman El-Sayed,F,170,59,NA
347,Najim Abdulrazak Al-Enazy,M,150,60,NA
348,Zeyad Abdulrazak Al-Khudhur Al-Enazy,M,181,66,NA
349,Waheed Abdulridha Waheed Karaawi,M,178,74,NA
350,Mohamed Abdultwab Ibrahim Abd El-Baki,M,162,69,NA
351,Julius Shareef Abdur-Rahim,M,202,104,Gold
352,Sherzod Abdurahmonov,M,178,73,NA
353,Rasul Abduraim,M,183,74,NA
354,Bekzod Makhamadzhonovich Abdurakhmonov,M,172,74,NA
355,Mukhamadmurod Abdurakhmonov,M,192,117,NA
356,Adlan Aliyevich Abdurashidov,M,172,60,NA
357,Yusup Abdusalomov,M,170,84,NA
357,Yusup Abdusalomov,M,170,84,Silver
358,Fawzi Abdussalam,M,179,76,NA
359,Andrey Khakimovich Abduvaliyev,M,190,125,Gold
359,Andrey Khakimovich Abduvaliyev,M,190,125,NA
360,Dzhamolidin Mirgarifanovich Abduzhaparov,M,174,72,NA
361,Aybek Abdymomunov,M,162,54,NA
362,Isao Ko Abe,M,177,75,NA
363,Kazumi Abe,M,178,67,NA
364,Kazuo Abe,M,166,69,NA
365,Kinya Abe,M,168,68,NA
366,Kiyoshi Abe,M,167,62,NA
367,Masashi Abe,M,175,64,NA
367,Masashi Abe,M,175,64,Gold
368,Naoki Abe,M,173,68,NA
369,Osamu Abe,M,NA,NA,NA
370,Shigeaki Abe,M,178,70,NA
371,Shinnosuke Abe,M,179,91,NA
372,Sanshiro "Sonny" Abe,M,166,57,NA
373,Tadashi Abe,M,190,80,NA
374,Tadatoshi Abe,M,170,60,NA
375,Wakako Abe,F,168,60,NA
376,Yoshiyuki Abe,M,175,67,NA
377,Yuki Abe,M,177,75,NA
378,Angelik Abebame,F,NA,NA,NA
379,Addis Abebe,M,160,50,NA
379,Addis Abebe,M,160,50,Bronze
380,Biruk Abebe,M,173,62,NA
381,Benaissa Abed,M,170,51,NA
382,Soha Abed Elaal,F,NA,NA,NA
383,Mojtaba Abedini Shormasti,M,180,83,NA
384,Thophile Abega Mbida,M,NA,NA,NA
385,Max "Xam" Abegglen,M,NA,NA,Silver
385,Max "Xam" Abegglen,M,NA,NA,NA
386,Alexandre Abeid,M,194,92,NA
387,Sonia Abejn Esteban,F,169,48,NA
388,Abel Carlos da Silva Braga,M,190,73,NA
389,Adolf Gaston Abel,M,NA,NA,NA
390,Brooke Abel,F,163,52,NA
391,Clarence John Abel,M,185,102,Silver
392,George Gordon Abel,M,NA,NA,Gold
393,Gnther Abel,M,183,80,NA
394,Irene Abel,F,160,48,NA
394,Irene Abel,F,160,48,Silver
